kind,move_key,symbol,year,date,entry_ordinal,pct_through_move,sa_uptrend,adr_pct_20,dollar_vol_20m,event_rel_vol20,gain_from_move_start,spy_above_50sma,entry,s0,risk_pct,r,days,reason
ours_sa_exit,RIMM_2000,RIMM,2000,2000-09-26,6,80.8,True,8.379284963327388,117.82943288499999,3.799774493679446,272.2,False,93.5,90.0,3.74,-1.0,1,stop
ours_sa_exit,RIMM_2000,RIMM,2000,2000-09-29,7,83.7,True,9.07080563591963,161.51408555,3.6505273372591573,292.4,False,98.56,92.68,5.97,-1.0,9,stop
ours_sa_exit,RIMM_2000,RIMM,2000,2000-10-02,8,84.6,True,9.420423572462507,168.67684955000001,1.1581145169624214,311.0,False,103.25,94.5,8.47,-1.0,8,stop
ours_sa_exit,SCON_2000,SCON,2000,2000-02-08,1,64.1,False,14.226167493147372,1674.506303072,2.0449116101290015,110.6,,2227500.0,1822500.0,18.18,7.944,109,sa_flip
ours_sa_exit,SCON_2000,SCON,2000,2000-02-16,2,79.5,False,15.031180761161519,3670.7022375870006,2.689551508372077,424.5,,5546250.0,3870000.0,30.22,-1.0,39,stop
ours_sa_exit,SCON_2000,SCON,2000,2000-02-17,3,82.1,False,15.475392909048844,4950.637237587,2.488333923341808,580.9,,7200000.0,6536250.0,9.22,-1.0,1,stop
ours_sa_exit,SCON_2000,SCON,2000,2000-02-22,4,87.2,False,15.599678443360762,7151.615362587,2.139717468830343,504.3,,6390000.0,6255000.0,2.11,-1.0,28,stop
ours_sa_exit,SCON_2000,SCON,2000,2000-02-23,5,89.7,False,16.232517189161435,8740.618800087,1.9911898759962314,700.0,,8460000.0,6502500.0,23.14,-1.0,26,stop
ours_sa_exit,SCON_2000,SCON,2000,2000-02-25,6,94.9,False,18.829864784906185,12658.8623751986,1.7135488383275412,1046.8,,12127500.0,8730000.0,28.01,-1.0,7,stop
ours_sa_exit,SCON_2000,SCON,2000,2000-02-28,7,97.4,False,19.775990340218982,16122.6473751986,1.5976198724349437,1593.6,,17910000.0,13680000.0,23.62,-1.0,2,stop
ours_sa_exit,SONS_2000,SONS,2000,2000-07-11,1,60.8,False,12.451397939803119,62.830102049999994,1.644665177335081,250.5,True,295.0,244.79,17.02,-1.0,32,stop
ours_sa_exit,SONS_2000,SONS,2000,2000-07-12,2,62.7,False,12.52701737304183,68.9156172,1.675896857031994,299.5,True,336.25,304.17,9.54,-1.0,2,stop
ours_sa_exit,SONS_2000,SONS,2000,2000-07-21,3,76.5,False,10.768409776839807,77.92131735,1.267751613783071,345.5,True,375.0,327.5,12.67,-1.0,5,stop
ours_sa_exit,SONS_2000,SONS,2000,2000-08-07,4,98.0,False,11.215668119848685,133.82328955,1.9726846931947888,417.1,True,435.21,366.25,15.85,-1.0,3,stop
ours_sa_exit,SSC_2000,SSC,2000,2000-03-06,1,47.1,False,26.569587322149722,9315.00897875,4.083142321316941,350.0,,30481.61,27094.77,11.11,-1.0,7,stop
ours_sa_exit,SSC_2000,SSC,2000,2000-03-08,2,52.9,False,29.902918468371986,10189.8819941,1.5357114608874476,350.0,,30481.61,27094.77,11.11,-1.0,5,stop
ours_sa_exit,SSC_2000,SSC,2000,2000-03-30,3,100.0,False,36.826757489924056,14660.430031,3.2952144605788254,800.0,True,60963.22,54189.53,11.11,-1.0,1,stop
sa_system,VIAS_2000,VIAS,2000,2000-06-05,1,64.4,,9.00432268046396,51.6448318,2.6086763674468503,257.1,True,34.28,26.2106,23.54,0.863,25,sa_flip
sa_system,VIAS_2000,VIAS,2000,2000-07-19,2,83.4,,8.97603356393373,79.32354009999999,0.3317655507743747,455.4,True,53.32,39.7908,25.37,-0.819,15,sa_flip
sa_system,VIAS_2000,VIAS,2000,2000-08-17,3,96.3,,8.554080492989378,125.011111,1.1163015401158691,472.9,True,55.0,39.7986,27.64,-0.497,8,sa_flip
ours_sa_exit,VIAS_2000,VIAS,2000,2000-02-03,1,12.9,False,6.7610880625232905,12.1962548,2.8389830508474576,78.8,,17.16,14.3,16.67,8.42,109,sa_flip
ours_sa_exit,VIAS_2000,VIAS,2000,2000-02-22,2,20.2,False,6.737804404219342,13.8072226,2.0567496057244896,111.7,,20.32,19.16,5.71,-1.0,3,stop
ours_sa_exit,VIAS_2000,VIAS,2000,2000-03-28,3,35.6,False,9.595221273438373,17.684186,2.637650555294854,202.9,True,29.08,24.56,15.54,-1.0,3,stop
ours_sa_exit,VIAS_2000,VIAS,2000,2000-05-05,4,52.1,False,12.240371482416158,26.95693375,2.022403382870154,174.2,False,26.32,22.16,15.81,-1.0,4,stop
ours_sa_exit,VIAS_2000,VIAS,2000,2000-05-16,5,56.4,False,11.132438246521094,45.50239235,1.0017632420529288,203.8,True,29.16,24.16,17.15,2.416,38,sa_flip
ours_sa_exit,VIAS_2000,VIAS,2000,2000-06-02,6,63.8,False,9.357023307873492,46.8531824,3.5425614244445365,248.8,True,33.48,27.48,17.92,1.293,26,sa_flip
ours_sa_exit,VIAS_2000,VIAS,2000,2000-06-08,7,66.3,True,10.069739979578946,89.8251132,8.73348889114335,368.8,True,45.0,34.48,23.38,-0.357,22,sa_flip
ours_sa_exit,VIAS_2000,VIAS,2000,2000-06-19,8,70.6,True,10.424249670893015,136.492122,1.0613370089593384,477.1,True,55.4,49.48,10.69,-1.0,3,stop
ours_sa_exit,VIAS_2000,VIAS,2000,2000-07-20,9,84.0,True,9.007995351643846,76.7286365,1.0330603652823576,477.1,True,55.4,53.0,4.33,-1.0,1,stop
ours_sa_exit,VIAS_2000,VIAS,2000,2000-08-01,10,89.0,True,9.218859142827963,94.7360972,2.0879037906264077,400.8,False,48.08,47.56,1.08,-1.154,1,stop
ours_sa_exit,VIAS_2000,VIAS,2000,2000-08-21,11,97.5,True,8.75141436929908,130.471651,1.3129132755056128,540.4,True,61.48,56.32,8.39,-1.357,5,stop
ours_sa_exit,WCST_2000,WCST,2000,2000-03-06,1,47.1,False,26.569587322149722,9315.00897875,4.083142321316941,350.0,,30481.61,27094.77,11.11,-1.0,7,stop
ours_sa_exit,WCST_2000,WCST,2000,2000-03-08,2,52.9,False,29.902918468371986,10189.8819941,1.5357114608874476,350.0,,30481.61,27094.77,11.11,-1.0,5,stop
