year,symbol,gain_pct,low_date,high_date,low_price,high_price,avg_vol_b
2006,TEX,124.92,2006-01-03,2006-12-20,29.575,66.52,1.5
2006,TIE,157.29,2006-02-17,2006-05-11,37.02,95.25,2.89
2006,UAUA,41172.73,2006-12-15,2006-12-19,0.11,45.4,1.21
2006,WFR,116.37,2006-01-03,2006-05-08,22.6,48.8999,2.67
2007,ACH,323.02,2007-01-09,2007-10-17,21.5,90.95,1.46
2007,ADYX,329.27,2007-01-11,2007-05-02,1078.95,4631.58,6.95
2007,AGU,152.7,2007-01-10,2007-12-27,30.13,76.14,1.49
2007,AKS,234.59,2007-01-05,2007-10-29,16.13,53.97,2.23
2007,AMZN,178.48,2007-01-23,2007-10-23,1.815,5.0545,13.91
2007,ANDV,300.03,2007-01-11,2007-04-30,31.465,125.87,5.25
2007,BB,212.95,2007-05-01,2007-11-07,43.78,137.01,40.23
2007,BIDU,362.49,2007-04-02,2007-11-06,9.28,42.919,22.45
2007,CEO,179.6,2007-02-27,2007-10-31,78.04,218.2,1.17
2007,CF,362.57,2007-01-03,2007-12-27,5.14,23.776,2.06
2007,CHL,154.53,2007-01-10,2007-10-29,40.86,104.0,3.28
2007,CMG,184.73,2007-01-05,2007-12-31,1.0922,3.1098,1.11
2007,CMI,154.71,2007-01-10,2007-10-11,28.16,71.725,4.28
2007,CNX,154.48,2007-01-05,2007-12-26,24.2917,61.8167,2.6
2007,CY,159.67,2007-01-03,2007-11-08,3.563,9.252,2.33
2007,DD,1025.81,2007-06-01,2007-07-17,5.758,64.8243,4.44
2007,DNDN,607.28,2007-03-21,2007-04-10,3.57,25.25,2.06
2007,DRYS,679.47,2007-01-31,2007-10-29,190607071.94,1485717083.0,53023.95
2007,DWDP,1025.82,2007-06-01,2007-07-17,4.26,47.96,5.66
2007,DXTR,269.51,2007-01-16,2007-10-05,41.0,151.5,1.0
2007,FSLR,927.6,2007-01-22,2007-12-27,27.54,283.0,6.8
2007,FWLT,262.3,2007-01-10,2007-12-07,46.5,168.47,3.84
2007,GME,155.59,2007-03-05,2007-12-07,6.2375,15.9425,2.22
2007,GRMN,159.35,2007-01-22,2007-10-24,48.46,125.68,6.47
2007,ISRG,317.16,2007-01-11,2007-12-10,9.5778,39.9544,4.33
2007,JASO,372.51,2007-02-12,2007-12-26,26.99,127.53,1.59
2007,JEC,160.44,2007-01-10,2007-12-28,38.25,99.62,1.5
2007,LDK,244.63,2007-06-12,2007-09-27,22.27,76.75,3.27
2007,LFC,197.63,2007-03-05,2007-10-17,11.968,35.62,2.28
2007,MDR,183.69,2007-01-10,2007-10-11,34.22,97.08,2.35
2007,NOV,205.12,2007-01-11,2007-10-15,24.2335,73.9405,6.78
2007,ONXX,479.91,2007-01-03,2007-11-14,10.55,61.18,1.32
2007,OSAT,566.67,2007-03-08,2007-07-19,37591875.0,250612650.0,44236.57
2007,PBR,187.97,2007-03-05,2007-11-08,20.69,59.58,8.96
2007,PCLN,188.68,2007-01-26,2007-12-05,41.8,120.67,1.71
2007,PCU,191.4,2007-01-04,2007-10-11,49.16,143.25,4.26
2007,PKX,167.07,2007-01-10,2007-10-02,75.26,201.0,2.07
2007,POT,244.61,2007-01-10,2007-12-27,14.692,50.63,5.73
2007,RCAT,299.87,2007-06-12,2007-06-13,3224880000.0,12895200000.0,1.06
2007,SCON,897.83,2007-08-06,2007-10-30,24840.0,247860.0,3.23
2007,SGR,170.28,2007-03-05,2007-10-26,28.6,77.3,1.18
2007,SHAW,170.28,2007-03-05,2007-10-26,28.6,77.3,1.18
2007,SPWR,364.66,2007-01-04,2007-11-08,23.1827,107.721,2.89
2007,SPWRA,364.66,2007-01-04,2007-11-08,35.4,164.49,2.89
2007,STP,182.23,2007-06-08,2007-12-24,31.41,88.65,2.89
2007,TRA,343.63,2007-01-05,2007-12-27,11.53,51.15,1.45
2007,VALE.P,177.72,2007-01-10,2007-10-31,11.58,32.16,3.44
2007,WCG,1882.0,2007-10-25,2007-12-12,2.5,49.55,1.92
2007,YGE,295.99,2007-06-08,2007-12-26,104.8,415.0,1.14
2008,ABK,869.23,2008-07-02,2008-09-08,1.04,10.08,2.16
2008,AIG,356.0,2008-09-16,2008-09-23,25.0,114.0,19.35
2008,ANR,444.25,2008-01-22,2008-07-16,21.92,119.3,5.04
2008,BIG,184.92,2008-01-09,2008-09-19,12.4,35.33,1.53
2008,BIGGQ,184.92,2008-01-09,2008-09-19,12.4,35.33,1.53
2008,BRL,437.73,2008-11-19,2008-12-22,12.59,67.7,2.43
2008,CLF,215.73,2008-01-23,2008-06-30,38.625,121.95,5.78
2008,CLR,307.03,2008-01-22,2008-07-11,10.294,41.9,1.33
2008,CRK,217.71,2008-01-23,2008-07-02,142.6,453.05,1.3
2008,CSIQ,251.42,2008-01-22,2008-06-19,14.74,51.8,1.4
2008,CX,183.04,2008-11-21,2008-12-10,3.0473,8.6251,2.8
2008,DAL,200.0,2008-07-15,2008-11-04,4.0,12.0,2.33
2008,DDR,249.5,2008-10-23,2008-11-04,8.04,28.1,1.3
2008,DISCA,3814.86,2008-09-18,2008-09-19,1.48,57.94,1.04
2008,DRYS,352.63,2008-11-21,2008-12-18,35739677.737,161769069.0,63774.29
2008,ENER,307.08,2008-01-22,2008-06-23,20.47,83.33,2.49
2008,F,250.5,2008-11-20,2008-12-08,1.01,3.54,6.89
2008,FHN,246.57,2008-07-14,2008-09-18,4.3172,14.9621,1.21
2008,FNM,688.57,2008-09-17,2008-09-25,0.35,2.76,10.23
2008,FRE,1080.0,2008-09-16,2008-09-25,0.25,2.95,7.09
2008,GDP,417.6,2008-01-22,2008-07-02,16.65,86.18,1.09
2008,GGP,937.33,2008-11-12,2008-12-12,0.1851,1.9201,2.57
2008,GNW,470.0,2008-11-21,2008-12-16,0.7,3.99,1.7
2008,HIG,362.02,2008-11-21,2008-12-18,4.16,19.22,4.92
2008,HQCL,231.5,2008-03-10,2008-05-21,88.06,291.92,1.49
2008,HSOL,225.92,2008-03-10,2008-05-21,8.95,29.17,1.49
2008,JASO,190.29,2008-11-20,2008-12-31,7.837,22.75,2.18
2008,JRCC,760.68,2008-01-22,2008-06-19,7.3,62.83,1.23
2008,KGC,178.39,2008-10-24,2008-12-17,6.85,19.07,3.02
2008,LCC,675.17,2008-07-15,2008-11-03,1.45,11.24,1.14
2008,LEHMQ,700.0,2008-09-18,2008-09-25,0.05,0.4,17.29
2008,LEN,230.41,2008-11-21,2008-12-18,3.3628,11.1111,2.28
2008,LNC,318.91,2008-11-20,2008-12-08,4.76,19.94,2.42
