Unnamed: 0,DateTime,Open,High,Low,Close,Volume
1274.0,2023-01-25,379.58,384.13,377.29,383.79,84800300
1275.0,2023-01-26,386.46,388.18,383.49,388.01,72287400
1276.0,2023-01-27,386.97,391.28,386.76,388.9,68346200
1277.0,2023-01-30,386.14,388.38,383.73,384.02,74202000
1278.0,2023-01-31,384.54,389.72,384.2,389.67,86811800
1279.0,2023-02-01,388.45,396.56,385.71,393.81,101459200
1280.0,2023-02-02,397.7,401.01,395.81,399.55,101654500
1281.0,2023-02-03,394.57,399.73,394.09,395.3,94736800
1282.0,2023-02-06,392.84,394.28,391.22,392.88,60295300
1283.0,2023-02-07,391.96,399.27,390.72,398.02,90990700
1284.0,2023-02-08,396.05,397.39,392.98,393.67,76227500
1285.0,2023-02-09,397.27,397.43,389.03,390.26,78694900
1286.0,2023-02-10,389.08,391.55,388.26,391.17,70769700
1287.0,2023-02-13,391.82,395.89,391.36,395.76,64913500
1288.0,2023-02-14,394.23,397.89,391.62,395.58,88389300
1289.0,2023-02-15,393.38,396.94,392.54,396.86,61555700
1290.0,2023-02-16,391.89,395.83,391.26,391.4,76431500
1291.0,2023-02-17,389.27,390.66,387.34,390.42,89257800
1292.0,2023-02-21,386.39,387.45,382.33,382.59,82655900
1293.0,2023-02-22,383.0,384.54,380.6,382.06,83742300
1294.0,2023-02-23,384.95,385.57,379.86,384.09,96242400
1295.0,2023-02-24,379.07,380.82,377.36,379.99,108194400
1296.0,2023-02-27,383.33,384.7,380.34,381.28,80444700
1297.0,2023-02-28,380.8,382.77,379.77,379.87,96438600
1298.0,2023-03-01,379.06,380.29,377.11,378.42,99706800
1299.0,2023-03-02,376.44,382.2,376.11,381.36,85127800
1300.0,2023-03-03,383.18,387.72,382.53,387.48,90120000
1301.0,2023-03-06,388.3,390.6,387.3,387.74,72795900
1302.0,2023-03-07,387.7,387.94,381.19,381.8,108310600
1303.0,2023-03-08,381.92,383.18,380.19,382.42,74746600
1304.0,2023-03-09,383.21,384.88,374.38,375.37,111945300
1305.0,2023-03-10,374.82,376.9,368.43,369.95,189253000
1306.0,2023-03-13,366.02,374.25,364.91,369.42,157790000
1307.0,2023-03-14,374.35,377.18,371.04,375.53,149752400
1308.0,2023-03-15,369.93,373.38,367.84,373.18,172996900
1309.0,2023-03-16,370.82,380.07,370.32,379.73,143254200
1310.0,2023-03-17,378.4,379.53,373.9,375.29,140553400
1311.0,2023-03-20,376.07,379.31,375.37,378.9,93055800
1312.0,2023-03-21,382.27,384.35,380.67,383.87,91524200
1313.0,2023-03-22,383.7,387.32,377.29,377.33,111746600
1314.0,2023-03-23,380.2,384.24,375.64,378.35,119351300
1315.0,2023-03-24,377.07,380.92,374.72,380.83,107682400
1316.0,2023-03-27,383.11,383.88,380.65,381.54,74010400
1317.0,2023-03-28,380.85,381.54,378.85,380.69,62871700
1318.0,2023-03-29,384.86,386.46,383.65,386.22,77497900
1319.0,2023-03-30,388.86,389.11,386.62,388.48,69840000
1320.0,2023-03-31,389.41,394.26,389.3,393.96,112062600
1321.0,2023-04-03,393.44,395.86,393.04,395.46,67391100
1322.0,2023-04-04,396.1,396.39,391.89,393.27,66601500
1323.0,2023-04-05,392.53,393.29,390.58,392.24,65200200
1324.0,2023-04-06,391.44,394.05,390.39,393.77,63743300
1325.0,2023-04-10,391.28,394.25,390.67,394.17,63681000
1326.0,2023-04-11,394.8,395.68,393.51,394.28,59297900
1327.0,2023-04-12,396.34,396.63,392.08,392.67,86420400
1328.0,2023-04-13,393.76,398.24,392.61,397.88,85814800
1329.0,2023-04-14,397.25,399.44,394.6,396.91,78161500
1330.0,2023-04-17,396.83,398.36,395.59,398.34,66436400
1331.0,2023-04-18,399.92,400.05,397.22,398.6,63560000
1332.0,2023-04-19,396.68,399.43,396.62,398.53,55227300
1333.0,2023-04-20,395.71,398.11,394.81,396.35,75840400
1334.0,2023-04-21,396.65,397.12,394.71,396.66,73457400
1335.0,2023-04-24,396.46,397.5,395.12,397.08,64332100
1336.0,2023-04-25,395.1,395.66,390.72,390.77,97766700
1337.0,2023-04-26,391.39,392.47,388.56,389.12,80447000
1338.0,2023-04-27,391.66,397.13,391.41,396.86,92968400
1339.0,2023-04-28,395.98,400.26,395.92,400.25,89433100
1340.0,2023-05-01,399.81,401.88,399.62,399.85,62122300
1341.0,2023-05-02,399.14,399.18,392.45,395.35,103998500
1342.0,2023-05-03,395.85,398.27,392.4,392.64,91531800
1343.0,2023-05-04,391.59,391.92,388.52,389.86,94901900
1344.0,2023-05-05,393.5,398.13,393.24,397.08,87891800
1345.0,2023-05-08,397.4,397.66,395.78,397.18,50046800
1346.0,2023-05-09,395.63,396.56,395.21,395.44,49220100
1347.0,2023-05-10,398.28,398.91,393.46,397.29,96142900
1348.0,2023-05-11,396.42,396.88,394.52,396.6,70157100
1349.0,2023-05-12,397.84,398.05,393.65,396.08,70481500
1350.0,2023-05-15,396.68,397.85,394.77,397.44,54289400
1351.0,2023-05-16,396.34,397.26,394.78,394.79,57705500
1352.0,2023-05-17,396.81,400.18,395.16,399.58,87287000
1353.0,2023-05-18,399.26,403.85,399.04,403.43,97177200
1354.0,2023-05-19,404.33,404.86,401.62,402.84,103793300
1355.0,2023-05-22,402.86,404.54,401.62,403.0,60745400
1356.0,2023-05-23,401.36,402.94,398.09,398.48,86383500
1357.0,2023-05-24,396.87,397.26,394.43,395.59,89213700
1358.0,2023-05-25,399.11,400.47,396.86,399.02,90961600
1359.0,2023-05-26,399.67,404.91,399.6,404.19,93830000
1360.0,2023-05-30,406.12,406.65,402.96,404.34,72216000
1361.0,2023-05-31,402.51,403.42,400.53,402.1,110811800
1362.0,2023-06-01,402.33,406.98,401.08,405.92,88865000
1363.0,2023-06-02,408.5,412.58,407.97,411.79,91426200
1364.0,2023-06-05,412.14,413.43,410.3,411.0,65460200
1365.0,2023-06-06,410.59,412.43,409.93,411.9,64022200
1366.0,2023-06-07,412.29,413.43,410.05,410.47,85373300
1367.0,2023-06-08,410.54,413.41,409.77,412.95,61952800
1368.0,2023-06-09,413.75,415.71,412.7,413.7,85742800
1369.0,2023-06-12,414.68,417.53,413.96,417.45,76104300
1370.0,2023-06-13,418.91,420.85,418.25,420.2,95899700
1371.0,2023-06-14,420.54,422.51,417.25,420.7,100612100
1372.0,2023-06-15,419.88,427.17,419.79,425.92,110303100
1373.0,2023-06-16,427.9,428.47,423.99,424.47,114165800
1374.0,2023-06-20,422.52,423.41,420.19,422.26,76160400
1375.0,2023-06-21,421.28,422.08,419.51,420.1,76982300
1376.0,2023-06-22,419.14,421.72,418.81,421.62,70637200
1377.0,2023-06-23,418.16,420.22,417.71,418.43,92074500
1378.0,2023-06-26,417.86,419.78,416.48,416.72,72823600
1379.0,2023-06-27,417.6,421.91,417.14,421.29,72813700
1380.0,2023-06-28,420.21,422.51,419.59,421.5,75636000
1381.0,2023-06-29,421.09,423.33,420.68,423.16,67882300
1382.0,2023-06-30,426.38,429.14,426.06,428.16,104964000
1383.0,2023-07-03,427.81,428.93,427.53,428.65,32793400
1384.0,2023-07-05,426.83,428.74,426.82,428.01,58418400
1385.0,2023-07-06,424.43,425.08,422.15,424.66,80658300
1386.0,2023-07-07,423.66,427.54,423.35,423.59,86134200
1387.0,2023-07-10,423.23,424.83,422.66,424.66,62443500
1388.0,2023-07-11,425.42,427.86,424.45,427.36,64463800
1389.0,2023-07-12,431.16,432.21,429.73,430.8,91924500
1390.0,2023-07-13,432.62,435.01,432.18,434.22,72425200
1391.0,2023-07-14,435.11,435.96,433.19,433.95,69815800
1392.0,2023-07-17,433.81,436.51,433.76,435.46,52680200
1393.0,2023-07-18,435.13,439.34,434.69,438.69,80668200
1394.0,2023-07-19,439.49,440.86,438.62,439.67,65891700
1395.0,2023-07-20,438.67,439.57,436.04,436.75,70591600
1396.0,2023-07-21,438.47,438.67,436.74,436.75,71275600
1397.0,2023-07-24,437.9,439.51,436.87,438.7,54023400
1398.0,2023-07-25,438.43,441.16,438.38,439.9,55191200
1399.0,2023-07-26,438.96,441.4,437.91,439.97,71052900
1400.0,2023-07-27,443.36,443.76,436.14,437.05,92194400
1401.0,2023-07-28,440.33,442.16,437.05,441.33,80011800
1402.0,2023-07-31,441.8,442.53,440.49,442.17,62040400
1403.0,2023-08-01,440.7,441.65,439.95,440.91,55291500
1404.0,2023-08-02,437.79,438.05,434.02,434.77,93933400
1405.0,2023-08-03,432.75,435.41,432.11,433.53,64276100
1406.0,2023-08-04,435.34,437.45,431.04,431.57,100128900
1407.0,2023-08-07,433.4,435.49,432.7,435.33,58357500
1408.0,2023-08-08,432.79,435.32,430.08,433.44,71361300
1409.0,2023-08-09,433.71,433.87,429.78,430.54,78789600
